127.0.0.1 - - [13/Sep/2019:09:32:33 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/ HTTP/1.1" 200 39320
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/animate.css HTTP/1.1" 200 77017
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/owl.theme.default.min.css HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/owl.carousel.min.css HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/magnific-popup.css HTTP/1.1" 200 7300
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/aos.css HTTP/1.1" 200 25984
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/bootstrap-datepicker.css HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/ionicons.min.css HTTP/1.1" 200 46826
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/flaticon.css HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/jquery.timepicker.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/style.css HTTP/1.1" 200 260215
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/css/icomoon.css HTTP/1.1" 200 84794
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/jquery-3.4.1.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/jquery-ui.min.js HTTP/1.1" 200 253680
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/jquery.min.js HTTP/1.1" 200 278290
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/popper.min.js HTTP/1.1" 200 19036
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11635
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/bootstrap.min.js HTTP/1.1" 200 55781
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/jquery.easing.1.3.js HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/jquery.waypoints.min.js HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/jquery.stellar.min.js HTTP/1.1" 200 12598
0:0:0:0:0:0:0:1 - - [13/Sep/2019:09:32:35 +0900] "GET /cloud/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
