127.0.0.1 - - [28/Sep/2019:14:12:07 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/ HTTP/1.1" 200 39370
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/open-iconic-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/bootstrap-datepicker.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/jquery.timepicker.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/scrollax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery.timepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/about_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/image_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/about-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/image_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/image_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/fonts/flaticon/font/Flaticon.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/person_2.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/person_3.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:10 +0900] "GET /cloud/resources/images/person_1.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/member/gologin HTTP/1.1" 200 3997
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/vendor/mdi-font/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/vendor/datepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/css/Member.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/vendor/font-awesome-4.7/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/js/global.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/vendor/datepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/vendor/datepicker/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/vendor/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/images/flash_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:15 +0900] "GET /cloud/resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:29 +0900] "POST /cloud/member/loginform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:29 +0900] "GET /cloud/ HTTP/1.1" 200 39372
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:29 +0900] "GET /cloud/resources/css/bootstrap-datepicker.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:29 +0900] "GET /cloud/resources/css/jquery.timepicker.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:29 +0900] "GET /cloud/resources/fonts/open-iconic/open-iconic.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:29 +0900] "GET /cloud/resources/images/person_1.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:29 +0900] "GET /cloud/resources/images/person_2.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:29 +0900] "GET /cloud/resources/images/person_3.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:45 +0900] "GET /cloud/member/goPatent HTTP/1.1" 200 40836
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:45 +0900] "GET /cloud/resources/images/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:45 +0900] "GET /cloud/resources/images/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:45 +0900] "GET /cloud/resources/css/search.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:45 +0900] "GET /cloud/resources/images/resume.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:45 +0900] "GET /cloud/resources/images/about_10-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:12:58 +0900] "GET /cloud/patent/patentUseList HTTP/1.1" 200 16891
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:06 +0900] "GET /cloud/patent/sePatent?patentNum=KR10-2009-0050710 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:11 +0900] "GET /cloud/patent/itemNumMem?itemNum=141 HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:24 +0900] "GET /cloud/patent/docume?DocumentNum=63 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:27 +0900] "GET /cloud/resources/js/aos.js.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:27 +0900] "GET /cloud/resources/js/popper.min.js.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:27 +0900] "GET /cloud/resources/js/bootstrap.min.js.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:27 +0900] "GET /cloud/resources/css/aos.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:31 +0900] "GET /cloud/patent/down1?itemNum=141 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:38 +0900] "GET /cloud/patent/down?itemNum=141 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:13:51 +0900] "GET /cloud/patent/sePti?PTI_seq=43 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:15:26 +0900] "POST /cloud/patent/permitionForm HTTP/1.1" 400 1208
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:22:51 +0900] "GET /cloud/patent/patentUseList HTTP/1.1" 200 16840
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:22:52 +0900] "GET /cloud/resources/js/bootstrap.min.js.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:22:52 +0900] "GET /cloud/resources/js/popper.min.js.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:22:52 +0900] "GET /cloud/resources/js/aos.js.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:22:58 +0900] "GET /cloud/patent/sePatent?patentNum=KR10-2009-0050710 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:23:06 +0900] "GET /cloud/patent/itemNumMem?itemNum=141 HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:23:14 +0900] "GET /cloud/patent/sePti?PTI_seq=43 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [28/Sep/2019:14:23:20 +0900] "GET /cloud/patent/docume?DocumentNum=63 HTTP/1.1" 200 12
